pert_id	drug_id
BRD-A49906757	scopolamine-n-oxide
BRD-K21361524	KPT-330
BRD-A47364545	SK&F-10047-(+)
BRD-K84798689	sodium-tanshinone-ii-a-sulfonate
BRD-K96659869	spaglumic-acid
BRD-K58499478	SPB02137
BRD-K99532291	SPB02303
BRD-K50495309	SRC-kinase-inhibitor-I
BRD-K97330509	SRC-kinase-inhibitor-II
BRD-K40853697	STAT3-inhibitor-VI
BRD-K66763349	STOCK1S-03920
BRD-K54729176	suberoyl-bis-hydroxamic-acid
BRD-K11215326	E-7438
BRD-K50002132	TBEP
BRD-K05977823	tenovins
BRD-A64228451	terreic-acid
BRD-A42831637	tetrahydrocannabinol-7-oic-acid
BRD-A28856712	tetryzoline
BRD-K79382620	TH02453-036-P1
BRD-K26619122	thiocolchicoside
BRD-A11605036	thiocolchicoside
BRD-A92800748	tie2-kinase-inhibitor
BRD-K49119234	TMPH
BRD-K50311478	tosyl-phenylalanyl-chloromethyl-ketone
BRD-K10136726	tosyllysyl-chloromethyl-ketone
BRD-K41708980	triamcinolone-acetonide
BRD-A92439610	triamcinolone-acetonide
BRD-K68202742	trichostatin-a
BRD-A19037878	trichostatin-a
BRD-K36851334	TRIM
BRD-K38310698	troleandomycin
BRD-A84389633	tropanyl-3,5-dimethylbenzoate
BRD-K03763695	TUL_XIX002
BRD-K03073752	TUL_XIX003
BRD-K09085930	TUL_XX087
BRD-K58466974	TUL_XXI035
BRD-K41996876	tyrphostin-1
BRD-K47943470	tyrphostin-51
BRD-K40255344	tyrphostin-A9
BRD-K01192156	tyrphostin-AG-112
BRD-K67506692	tyrphostin-AG-126
BRD-K08115555	tyrphostin-AG-1288
BRD-K57926513	tyrphostin-AG-1295
BRD-K76064317	tyrphostin-AG-1296
BRD-K68336408	tyrphostin-AG-1478
BRD-K49657628	tyrphostin-AG-18
BRD-K34533029	tyrphostin-AG-494
BRD-K43405658	tyrphostin-AG-527
BRD-K07888196	tyrphostin-AG-538
BRD-K72783841	tyrphostin-AG-555
BRD-K14441456	tyrphostin-AG-556
BRD-K03670461	tyrphostin-AG-82
BRD-K87919739	tyrphostin-AG-825
BRD-K17415526	tyrphostin-AG-835
BRD-K59469039	AG-879
BRD-K60184833	TYRPHOSTIN-46
BRD-K11158509	tyrphostin-B44
BRD-K53532120	U-50488-(-)
BRD-M57185017	U-50488-(+/-)
BRD-K66715657	UH-232-(+)
BRD-K61737877	VEGF-receptor-2-kinase-inhibitor-IV
BRD-K62391742	GDC-0199
BRD-K93442924	voapaxar
BRD-K60174629	z-prolyl-prolinal
BRD-K28761384	zuclopenthixol
BRD-K00198051	zuclopenthixol
BRD-K53156626	7-methoxytacrine
BRD-K41592905	7-methylxanthine
BRD-K78364995	cefotaxime
BRD-K43230258	AN-2728
